2025-12-22 06:52:11,505 | INFO | SYSTEM | epoch=50 time=241.37s lr=1.25e-05 grad_norm=73.078520 mask_ratio_lastbatch=0.007347 cuda_mem_alloc_mb=848.43 cuda_mem_reserved_mb=7588.00 cuda_mem_max_alloc_mb=6273.00
2025-12-22 06:56:00,987 | INFO | SYSTEM | epoch=51 time=229.48s lr=1.25e-05 grad_norm=73.135665 mask_ratio_lastbatch=0.010933 cuda_mem_alloc_mb=848.19 cuda_mem_reserved_mb=7588.00 cuda_mem_max_alloc_mb=6273.00
2025-12-22 06:59:47,448 | INFO | SYSTEM | epoch=52 time=226.46s lr=1.25e-05 grad_norm=74.039041 mask_ratio_lastbatch=0.025422 cuda_mem_alloc_mb=845.97 cuda_mem_reserved_mb=7588.00 cuda_mem_max_alloc_mb=6273.00
2025-12-22 07:03:26,698 | INFO | SYSTEM | epoch=53 time=219.25s lr=1.25e-05 grad_norm=75.551360 mask_ratio_lastbatch=0.026042 cuda_mem_alloc_mb=845.41 cuda_mem_reserved_mb=7588.00 cuda_mem_max_alloc_mb=6273.00
2025-12-22 07:07:10,735 | INFO | SYSTEM | epoch=54 time=224.04s lr=1.25e-05 grad_norm=76.113974 mask_ratio_lastbatch=0.056641 cuda_mem_alloc_mb=845.42 cuda_mem_reserved_mb=7588.00 cuda_mem_max_alloc_mb=6273.00
2025-12-22 07:10:53,610 | INFO | SYSTEM | epoch=55 time=222.87s lr=1.25e-05 grad_norm=76.438519 mask_ratio_lastbatch=0.006966 cuda_mem_alloc_mb=847.54 cuda_mem_reserved_mb=7588.00 cuda_mem_max_alloc_mb=6273.00
2025-12-22 07:14:47,899 | INFO | SYSTEM | epoch=56 time=234.29s lr=1.25e-05 grad_norm=77.963985 mask_ratio_lastbatch=0.008649 cuda_mem_alloc_mb=847.08 cuda_mem_reserved_mb=7588.00 cuda_mem_max_alloc_mb=6273.00
2025-12-22 07:18:29,477 | INFO | SYSTEM | epoch=57 time=221.58s lr=1.25e-05 grad_norm=78.434251 mask_ratio_lastbatch=0.009031 cuda_mem_alloc_mb=847.08 cuda_mem_reserved_mb=7588.00 cuda_mem_max_alloc_mb=6273.00
2025-12-22 07:22:17,779 | INFO | SYSTEM | epoch=58 time=228.30s lr=1.25e-05 grad_norm=79.312555 mask_ratio_lastbatch=0.011239 cuda_mem_alloc_mb=845.92 cuda_mem_reserved_mb=7588.00 cuda_mem_max_alloc_mb=6273.00
2025-12-22 07:25:56,401 | INFO | SYSTEM | epoch=59 time=218.62s lr=6.25e-06 grad_norm=80.513623 mask_ratio_lastbatch=0.062934 cuda_mem_alloc_mb=845.69 cuda_mem_reserved_mb=7588.00 cuda_mem_max_alloc_mb=6273.00
2025-12-22 07:29:37,387 | INFO | SYSTEM | epoch=60 time=220.98s lr=6.25e-06 grad_norm=82.245607 mask_ratio_lastbatch=0.008304 cuda_mem_alloc_mb=845.67 cuda_mem_reserved_mb=7588.00 cuda_mem_max_alloc_mb=6273.00
2025-12-22 07:33:25,742 | INFO | SYSTEM | epoch=61 time=228.35s lr=6.25e-06 grad_norm=82.401629 mask_ratio_lastbatch=0.010828 cuda_mem_alloc_mb=846.13 cuda_mem_reserved_mb=7588.00 cuda_mem_max_alloc_mb=6273.00
2025-12-22 07:37:20,734 | INFO | SYSTEM | epoch=62 time=234.99s lr=6.25e-06 grad_norm=83.329103 mask_ratio_lastbatch=0.011319 cuda_mem_alloc_mb=846.26 cuda_mem_reserved_mb=7588.00 cuda_mem_max_alloc_mb=6273.00
2025-12-22 07:41:08,892 | INFO | SYSTEM | epoch=63 time=228.16s lr=6.25e-06 grad_norm=83.930283 mask_ratio_lastbatch=0.008241 cuda_mem_alloc_mb=846.32 cuda_mem_reserved_mb=7588.00 cuda_mem_max_alloc_mb=6273.00
2025-12-22 07:44:56,100 | INFO | SYSTEM | epoch=64 time=227.21s lr=6.25e-06 grad_norm=85.178731 mask_ratio_lastbatch=0.007456 cuda_mem_alloc_mb=846.55 cuda_mem_reserved_mb=7588.00 cuda_mem_max_alloc_mb=6273.00
2025-12-22 07:48:48,421 | INFO | SYSTEM | epoch=65 time=232.32s lr=6.25e-06 grad_norm=86.555833 mask_ratio_lastbatch=0.006254 cuda_mem_alloc_mb=847.23 cuda_mem_reserved_mb=7588.00 cuda_mem_max_alloc_mb=6273.00
2025-12-22 07:52:34,489 | INFO | SYSTEM | epoch=66 time=226.07s lr=6.25e-06 grad_norm=87.935158 mask_ratio_lastbatch=0.072917 cuda_mem_alloc_mb=845.39 cuda_mem_reserved_mb=7588.00 cuda_mem_max_alloc_mb=6273.00
2025-12-22 07:56:19,180 | INFO | SYSTEM | epoch=67 time=224.69s lr=6.25e-06 grad_norm=88.715604 mask_ratio_lastbatch=0.059896 cuda_mem_alloc_mb=845.50 cuda_mem_reserved_mb=7588.00 cuda_mem_max_alloc_mb=6273.00
