INFO | SYSTEM | epoch=47 time=10.69s lr=1e-05 grad_norm=0.166010 mask_ratio_lastbatch=0.146836 cuda_mem_alloc_mb=217.76 cuda_mem_reserved_mb=1888.00 cuda_mem_max_alloc_mb=762.38
INFO | SYSTEM | epoch=48 time=10.77s lr=1e-05 grad_norm=0.057310 mask_ratio_lastbatch=0.143367 cuda_mem_alloc_mb=217.83 cuda_mem_reserved_mb=1888.00 cuda_mem_max_alloc_mb=763.05
INFO | SYSTEM | epoch=49 time=10.83s lr=1e-05 grad_norm=0.147495 mask_ratio_lastbatch=0.142981 cuda_mem_alloc_mb=217.64 cuda_mem_reserved_mb=1888.00 cuda_mem_max_alloc_mb=763.05
INFO | SYSTEM | epoch=50 time=10.60s lr=1e-05 grad_norm=0.281895 mask_ratio_lastbatch=0.147035 cuda_mem_alloc_mb=217.79 cuda_mem_reserved_mb=1888.00 cuda_mem_max_alloc_mb=763.05
INFO | SYSTEM | epoch=51 time=10.68s lr=1e-05 grad_norm=0.068397 mask_ratio_lastbatch=0.150665 cuda_mem_alloc_mb=217.73 cuda_mem_reserved_mb=1888.00 cuda_mem_max_alloc_mb=763.05
INFO | SYSTEM | epoch=52 time=10.55s lr=1e-05 grad_norm=0.166853 mask_ratio_lastbatch=0.140472 cuda_mem_alloc_mb=217.77 cuda_mem_reserved_mb=1888.00 cuda_mem_max_alloc_mb=763.05
INFO | SYSTEM | epoch=53 time=10.83s lr=1e-05 grad_norm=0.231646 mask_ratio_lastbatch=0.138984 cuda_mem_alloc_mb=217.78 cuda_mem_reserved_mb=1888.00 cuda_mem_max_alloc_mb=763.05
INFO | SYSTEM | epoch=54 time=10.45s lr=1e-05 grad_norm=0.307619 mask_ratio_lastbatch=0.144202 cuda_mem_alloc_mb=217.81 cuda_mem_reserved_mb=1888.00 cuda_mem_max_alloc_mb=763.05
INFO | SYSTEM | epoch=55 time=10.50s lr=1e-05 grad_norm=0.062972 mask_ratio_lastbatch=0.141456 cuda_mem_alloc_mb=217.83 cuda_mem_reserved_mb=1888.00 cuda_mem_max_alloc_mb=763.05
INFO | SYSTEM | epoch=56 time=10.35s lr=1e-05 grad_norm=0.295448 mask_ratio_lastbatch=0.139777 cuda_mem_alloc_mb=217.80 cuda_mem_reserved_mb=1888.00 cuda_mem_max_alloc_mb=763.05
INFO | SYSTEM | epoch=57 time=10.42s lr=1e-05 grad_norm=0.155341 mask_ratio_lastbatch=0.140822 cuda_mem_alloc_mb=217.83 cuda_mem_reserved_mb=1888.00 cuda_mem_max_alloc_mb=763.05
INFO | SYSTEM | epoch=58 time=8.98s lr=1e-05 grad_norm=0.230539 mask_ratio_lastbatch=0.139405 cuda_mem_alloc_mb=217.68 cuda_mem_reserved_mb=1888.00 cuda_mem_max_alloc_mb=763.05
INFO | SYSTEM | epoch=59 time=10.36s lr=1e-05 grad_norm=0.353327 mask_ratio_lastbatch=0.135436 cuda_mem_alloc_mb=217.82 cuda_mem_reserved_mb=1888.00 cuda_mem_max_alloc_mb=763.05
INFO | SYSTEM | epoch=60 time=10.56s lr=1e-05 grad_norm=0.147426 mask_ratio_lastbatch=0.147050 cuda_mem_alloc_mb=217.79 cuda_mem_reserved_mb=1888.00 cuda_mem_max_alloc_mb=763.05
INFO | SYSTEM | epoch=61 time=8.95s lr=1e-05 grad_norm=0.148777 mask_ratio_lastbatch=0.143027 cuda_mem_alloc_mb=217.70 cuda_mem_reserved_mb=1888.00 cuda_mem_max_alloc_mb=763.05
INFO | SYSTEM | epoch=62 time=8.91s lr=1e-05 grad_norm=0.084071 mask_ratio_lastbatch=0.137791 cuda_mem_alloc_mb=217.75 cuda_mem_reserved_mb=1888.00 cuda_mem_max_alloc_mb=763.05
INFO | SYSTEM | epoch=63 time=10.31s lr=1e-05 grad_norm=0.354220 mask_ratio_lastbatch=0.134578 cuda_mem_alloc_mb=217.87 cuda_mem_reserved_mb=1888.00 cuda_mem_max_alloc_mb=763.05
