INFO | 2025-12-23 10:48:07
INFO | command: RunModelsLogsUSHCN.py --dataset ushcn --state def --history 24 --batch_size 192 --lr 1e-3 --patience 50 --epoch 300 --nhead 4 --tf_layer 1 --nlayer 1 --te_dim 15 --node_dim 10 --hid_dim 64 --seed 1 --gpu 0 --multi_scales 3,12 --multi_strides 1,6 --fusion concat
INFO | ExpID=70181 PID=539684 host=stud-000 device=cuda CUDA_VISIBLE_DEVICES=0
INFO | SLURM_JOB_NAME=MH_USHCN_MS SLURM_JOB_ID=317561
INFO | ckpt_path=experiments/experiment_70181.ckpt
INFO | args=Namespace(multi_scales='3,12', multi_strides='1,6', fusion='concat', state='def', n=100000000, hop=1, nhead=4, tf_layer=1, nlayer=1, epoch=300, patience=50, history=24, patch_size=24, stride=24, logmode='a', lr=0.001, w_decay=0.0, batch_size=192, save='experiments/', load=None, seed=1, dataset='ushcn', quantization=0.0, model='tPatchGNN', outlayer='Linear', hid_dim=64, te_dim=15, node_dim=10, gpu='0', debug_internal=1, topk_err=10, data_sanity_batches=3, npatch=1, device=device(type='cuda'), PID=539684, n_months=48, pred_window=1, ndim=5)
INFO | data: input_dim=5 n_train_batches=84 n_val_batches=28 n_test_batches=28 quantization=0.0 history=24 patch_size=24 stride=24 npatch=1
INFO | SYSTEM | epoch=39 time=24.16s lr=0.000125 grad_norm=0.747609 mask_ratio_lastbatch=0.104268 cuda_mem_alloc_mb=289.71 cuda_mem_reserved_mb=7130.00 cuda_mem_max_alloc_mb=5885.29
INFO | SYSTEM | epoch=40 time=24.05s lr=0.000125 grad_norm=0.290971 mask_ratio_lastbatch=0.094803 cuda_mem_alloc_mb=289.39 cuda_mem_reserved_mb=7130.00 cuda_mem_max_alloc_mb=5885.29
INFO | SYSTEM | epoch=41 time=24.08s lr=0.000125 grad_norm=0.400269 mask_ratio_lastbatch=0.103949 cuda_mem_alloc_mb=289.94 cuda_mem_reserved_mb=7130.00 cuda_mem_max_alloc_mb=5885.29
INFO | SYSTEM | epoch=42 time=23.96s lr=0.000125 grad_norm=0.636583 mask_ratio_lastbatch=0.093706 cuda_mem_alloc_mb=289.37 cuda_mem_reserved_mb=7130.00 cuda_mem_max_alloc_mb=5885.29
INFO | SYSTEM | epoch=43 time=23.93s lr=0.000125 grad_norm=0.481251 mask_ratio_lastbatch=0.091695 cuda_mem_alloc_mb=289.02 cuda_mem_reserved_mb=7130.00 cuda_mem_max_alloc_mb=5885.29
INFO | SYSTEM | epoch=44 time=24.05s lr=0.000125 grad_norm=0.509696 mask_ratio_lastbatch=0.105173 cuda_mem_alloc_mb=289.65 cuda_mem_reserved_mb=7130.00 cuda_mem_max_alloc_mb=5885.29
INFO | SYSTEM | epoch=45 time=24.02s lr=0.000125 grad_norm=0.453324 mask_ratio_lastbatch=0.101698 cuda_mem_alloc_mb=289.13 cuda_mem_reserved_mb=7130.00 cuda_mem_max_alloc_mb=5885.29
INFO | SYSTEM | epoch=46 time=23.93s lr=6.25e-05 grad_norm=0.646699 mask_ratio_lastbatch=0.099196 cuda_mem_alloc_mb=289.85 cuda_mem_reserved_mb=7130.00 cuda_mem_max_alloc_mb=5885.29
INFO | SYSTEM | epoch=47 time=24.04s lr=6.25e-05 grad_norm=0.356726 mask_ratio_lastbatch=0.092916 cuda_mem_alloc_mb=289.23 cuda_mem_reserved_mb=7130.00 cuda_mem_max_alloc_mb=5885.29
INFO | SYSTEM | epoch=48 time=23.96s lr=6.25e-05 grad_norm=0.347335 mask_ratio_lastbatch=0.093870 cuda_mem_alloc_mb=288.99 cuda_mem_reserved_mb=7130.00 cuda_mem_max_alloc_mb=5885.29
INFO | SYSTEM | epoch=49 time=24.04s lr=6.25e-05 grad_norm=0.578357 mask_ratio_lastbatch=0.094797 cuda_mem_alloc_mb=289.33 cuda_mem_reserved_mb=7130.00 cuda_mem_max_alloc_mb=5885.29
INFO | SYSTEM | epoch=50 time=24.22s lr=6.25e-05 grad_norm=0.558893 mask_ratio_lastbatch=0.094894 cuda_mem_alloc_mb=289.80 cuda_mem_reserved_mb=7130.00 cuda_mem_max_alloc_mb=5885.29
INFO | SYSTEM | epoch=51 time=24.11s lr=6.25e-05 grad_norm=0.322715 mask_ratio_lastbatch=0.102927 cuda_mem_alloc_mb=289.12 cuda_mem_reserved_mb=7130.00 cuda_mem_max_alloc_mb=5885.29
INFO | SYSTEM | epoch=52 time=24.05s lr=6.25e-05 grad_norm=0.332235 mask_ratio_lastbatch=0.101802 cuda_mem_alloc_mb=289.02 cuda_mem_reserved_mb=7130.00 cuda_mem_max_alloc_mb=5885.29
INFO | SYSTEM | epoch=53 time=24.05s lr=6.25e-05 grad_norm=0.391411 mask_ratio_lastbatch=0.102029 cuda_mem_alloc_mb=289.28 cuda_mem_reserved_mb=7130.00 cuda_mem_max_alloc_mb=5885.29
INFO | SYSTEM | epoch=54 time=24.12s lr=6.25e-05 grad_norm=0.626867 mask_ratio_lastbatch=0.108090 cuda_mem_alloc_mb=289.94 cuda_mem_reserved_mb=7130.00 cuda_mem_max_alloc_mb=5885.29
INFO | SYSTEM | epoch=55 time=24.16s lr=6.25e-05 grad_norm=0.496830 mask_ratio_lastbatch=0.094198 cuda_mem_alloc_mb=289.11 cuda_mem_reserved_mb=7130.00 cuda_mem_max_alloc_mb=5885.29
INFO | SYSTEM | epoch=56 time=24.19s lr=3.125e-05 grad_norm=0.397012 mask_ratio_lastbatch=0.098173 cuda_mem_alloc_mb=288.82 cuda_mem_reserved_mb=7130.00 cuda_mem_max_alloc_mb=5885.29
INFO | SYSTEM | epoch=57 time=24.24s lr=3.125e-05 grad_norm=0.443713 mask_ratio_lastbatch=0.102531 cuda_mem_alloc_mb=288.98 cuda_mem_reserved_mb=7130.00 cuda_mem_max_alloc_mb=5885.29
