INFO | SYSTEM | epoch=105 time=32.69s lr=1e-06mask_ratio_lastbatch=0.186768
INFO | SYSTEM | epoch=106 time=32.79s lr=1e-06mask_ratio_lastbatch=0.168171
INFO | SYSTEM | epoch=107 time=32.61s lr=1e-06mask_ratio_lastbatch=0.178476
INFO | SYSTEM | epoch=108 time=32.87s lr=1e-06mask_ratio_lastbatch=0.157744
INFO | SYSTEM | epoch=109 time=32.65s lr=1e-06mask_ratio_lastbatch=0.171921
INFO | SYSTEM | epoch=110 time=32.71s lr=1e-06mask_ratio_lastbatch=0.160213
INFO | SYSTEM | epoch=111 time=32.70s lr=1e-06mask_ratio_lastbatch=0.180213
INFO | SYSTEM | epoch=112 time=32.86s lr=1e-06mask_ratio_lastbatch=0.165305
INFO | SYSTEM | epoch=113 time=32.89s lr=1e-06mask_ratio_lastbatch=0.175396
INFO | SYSTEM | epoch=114 time=32.88s lr=1e-06mask_ratio_lastbatch=0.155305
INFO | SYSTEM | epoch=115 time=32.86s lr=1e-06mask_ratio_lastbatch=0.155915
INFO | SYSTEM | epoch=116 time=32.74s lr=1e-06mask_ratio_lastbatch=0.173323
INFO | SYSTEM | epoch=117 time=32.82s lr=1e-06mask_ratio_lastbatch=0.176280
INFO | SYSTEM | epoch=118 time=32.77s lr=1e-06mask_ratio_lastbatch=0.182988
INFO | SYSTEM | epoch=119 time=32.76s lr=1e-06mask_ratio_lastbatch=0.172866
INFO | SYSTEM | epoch=120 time=32.82s lr=1e-06mask_ratio_lastbatch=0.159024
INFO | SYSTEM | epoch=121 time=32.72s lr=1e-06mask_ratio_lastbatch=0.164421
INFO | SYSTEM | epoch=122 time=37.96s lr=1e-06mask_ratio_lastbatch=0.155366
INFO | SYSTEM | epoch=123 time=32.62s lr=1e-06mask_ratio_lastbatch=0.184329
INFO | SYSTEM | epoch=124 time=32.63s lr=1e-06mask_ratio_lastbatch=0.183354
INFO | SYSTEM | epoch=125 time=32.72s lr=1e-06mask_ratio_lastbatch=0.171067
INFO | SYSTEM | epoch=126 time=32.80s lr=1e-06mask_ratio_lastbatch=0.162927
INFO | SYSTEM | epoch=127 time=32.72s lr=1e-06mask_ratio_lastbatch=0.168933
INFO | SYSTEM | epoch=128 time=32.80s lr=1e-06mask_ratio_lastbatch=0.182470
INFO | SYSTEM | epoch=129 time=32.81s lr=1e-06mask_ratio_lastbatch=0.174695
INFO | SYSTEM | epoch=130 time=32.78s lr=1e-06mask_ratio_lastbatch=0.178293
INFO | SYSTEM | epoch=131 time=32.74s lr=1e-06mask_ratio_lastbatch=0.162957
INFO | SYSTEM | epoch=132 time=32.85s lr=1e-06mask_ratio_lastbatch=0.176768
INFO | SYSTEM | epoch=133 time=32.84s lr=1e-06mask_ratio_lastbatch=0.160518
INFO | SYSTEM | epoch=134 time=32.75s lr=1e-06mask_ratio_lastbatch=0.156372
INFO | SYSTEM | epoch=135 time=32.92s lr=1e-06mask_ratio_lastbatch=0.169756
INFO | SYSTEM | epoch=136 time=32.99s lr=1e-06mask_ratio_lastbatch=0.166067
INFO | SYSTEM | epoch=137 time=33.22s lr=1e-06mask_ratio_lastbatch=0.170823
INFO | SYSTEM | epoch=138 time=32.88s lr=1e-06mask_ratio_lastbatch=0.167226
INFO | SYSTEM | epoch=139 time=32.76s lr=1e-06mask_ratio_lastbatch=0.180579
INFO | SYSTEM | epoch=140 time=32.96s lr=1e-06mask_ratio_lastbatch=0.160854
INFO | SYSTEM | epoch=141 time=32.59s lr=1e-06mask_ratio_lastbatch=0.160884
INFO | SYSTEM | epoch=142 time=32.66s lr=1e-06mask_ratio_lastbatch=0.182012
INFO | SYSTEM | epoch=143 time=32.69s lr=1e-06mask_ratio_lastbatch=0.169024
INFO | SYSTEM | epoch=144 time=32.82s lr=1e-06mask_ratio_lastbatch=0.177470
INFO | SYSTEM | epoch=145 time=32.73s lr=1e-06mask_ratio_lastbatch=0.166890
INFO | SYSTEM | epoch=146 time=32.56s lr=1e-06mask_ratio_lastbatch=0.182744
INFO | SYSTEM | epoch=147 time=32.66s lr=1e-06mask_ratio_lastbatch=0.178415
INFO | SYSTEM | epoch=148 time=32.61s lr=1e-06mask_ratio_lastbatch=0.168750
INFO | SYSTEM | epoch=149 time=32.55s lr=1e-06mask_ratio_lastbatch=0.175396
INFO | SYSTEM | epoch=150 time=32.61s lr=1e-06mask_ratio_lastbatch=0.173171
INFO | SYSTEM | epoch=151 time=32.73s lr=1e-06mask_ratio_lastbatch=0.174573
INFO | SYSTEM | epoch=152 time=32.68s lr=1e-06mask_ratio_lastbatch=0.169024
INFO | SYSTEM | epoch=153 time=32.66s lr=1e-06mask_ratio_lastbatch=0.181159
INFO | SYSTEM | epoch=154 time=32.57s lr=1e-06mask_ratio_lastbatch=0.175030
INFO | SYSTEM | epoch=155 time=32.67s lr=1e-06mask_ratio_lastbatch=0.165274
INFO | SYSTEM | epoch=156 time=32.65s lr=1e-06mask_ratio_lastbatch=0.174726
INFO | SYSTEM | epoch=157 time=32.68s lr=1e-06mask_ratio_lastbatch=0.168933
INFO | SYSTEM | epoch=158 time=32.67s lr=1e-06mask_ratio_lastbatch=0.187378
INFO | SYSTEM | epoch=159 time=32.59s lr=1e-06mask_ratio_lastbatch=0.157683
INFO | SYSTEM | epoch=160 time=32.63s lr=1e-06mask_ratio_lastbatch=0.164543
INFO | SYSTEM | epoch=161 time=37.95s lr=1e-06mask_ratio_lastbatch=0.173201
INFO | SYSTEM | epoch=162 time=32.60s lr=1e-06mask_ratio_lastbatch=0.169939
INFO | SYSTEM | epoch=163 time=32.68s lr=1e-06mask_ratio_lastbatch=0.160213
INFO | SYSTEM | epoch=164 time=32.75s lr=1e-06mask_ratio_lastbatch=0.160305
INFO | SYSTEM | epoch=165 time=32.48s lr=1e-06mask_ratio_lastbatch=0.168994
INFO | SYSTEM | epoch=166 time=32.59s lr=1e-06mask_ratio_lastbatch=0.173293
INFO | SYSTEM | epoch=167 time=32.58s lr=1e-06mask_ratio_lastbatch=0.175183
