2025-12-22 02:04:42,966 | INFO | SYSTEM | epoch=36 time=3.09s lr=0.0005 grad_norm=7.388253 mask_ratio_lastbatch=0.230114 cuda_mem_alloc_mb=95.45 cuda_mem_reserved_mb=1522.00 cuda_mem_max_alloc_mb=732.50
2025-12-22 02:04:46,132 | INFO | SYSTEM | epoch=37 time=3.17s lr=0.0005 grad_norm=7.422133 mask_ratio_lastbatch=0.229877 cuda_mem_alloc_mb=95.45 cuda_mem_reserved_mb=1522.00 cuda_mem_max_alloc_mb=732.50
2025-12-22 02:04:49,238 | INFO | SYSTEM | epoch=38 time=3.11s lr=0.00025 grad_norm=7.379860 mask_ratio_lastbatch=0.229995 cuda_mem_alloc_mb=95.45 cuda_mem_reserved_mb=1522.00 cuda_mem_max_alloc_mb=732.50
2025-12-22 02:04:52,317 | INFO | SYSTEM | epoch=39 time=3.08s lr=0.00025 grad_norm=7.372679 mask_ratio_lastbatch=0.228812 cuda_mem_alloc_mb=95.45 cuda_mem_reserved_mb=1522.00 cuda_mem_max_alloc_mb=732.50
2025-12-22 02:04:55,409 | INFO | SYSTEM | epoch=40 time=3.09s lr=0.00025 grad_norm=7.375267 mask_ratio_lastbatch=0.227273 cuda_mem_alloc_mb=95.49 cuda_mem_reserved_mb=1942.00 cuda_mem_max_alloc_mb=732.50
2025-12-22 02:04:58,804 | INFO | SYSTEM | epoch=41 time=3.39s lr=0.00025 grad_norm=7.391147 mask_ratio_lastbatch=0.230232 cuda_mem_alloc_mb=95.45 cuda_mem_reserved_mb=1942.00 cuda_mem_max_alloc_mb=732.50
2025-12-22 02:05:02,026 | INFO | SYSTEM | epoch=42 time=3.22s lr=0.00025 grad_norm=7.388583 mask_ratio_lastbatch=0.228575 cuda_mem_alloc_mb=95.45 cuda_mem_reserved_mb=1942.00 cuda_mem_max_alloc_mb=732.50
2025-12-22 02:05:05,387 | INFO | SYSTEM | epoch=43 time=3.36s lr=0.00025 grad_norm=7.379224 mask_ratio_lastbatch=0.226918 cuda_mem_alloc_mb=95.45 cuda_mem_reserved_mb=1942.00 cuda_mem_max_alloc_mb=732.50
2025-12-22 02:05:08,490 | INFO | SYSTEM | epoch=44 time=3.10s lr=0.00025 grad_norm=7.399323 mask_ratio_lastbatch=0.231534 cuda_mem_alloc_mb=95.45 cuda_mem_reserved_mb=1942.00 cuda_mem_max_alloc_mb=732.50
2025-12-22 02:05:11,567 | INFO | SYSTEM | epoch=45 time=3.08s lr=0.00025 grad_norm=7.402362 mask_ratio_lastbatch=0.229167 cuda_mem_alloc_mb=95.45 cuda_mem_reserved_mb=1942.00 cuda_mem_max_alloc_mb=732.50
2025-12-22 02:05:14,677 | INFO | SYSTEM | epoch=46 time=3.11s lr=0.00025 grad_norm=7.454608 mask_ratio_lastbatch=0.233521 cuda_mem_alloc_mb=95.44 cuda_mem_reserved_mb=1942.00 cuda_mem_max_alloc_mb=732.50
2025-12-22 02:05:17,778 | INFO | SYSTEM | epoch=47 time=3.10s lr=0.00025 grad_norm=7.414481 mask_ratio_lastbatch=0.229048 cuda_mem_alloc_mb=95.45 cuda_mem_reserved_mb=1942.00 cuda_mem_max_alloc_mb=732.50
2025-12-22 02:05:21,035 | INFO | SYSTEM | epoch=48 time=3.26s lr=0.000125 grad_norm=7.435756 mask_ratio_lastbatch=0.233073 cuda_mem_alloc_mb=95.45 cuda_mem_reserved_mb=1942.00 cuda_mem_max_alloc_mb=732.50
2025-12-22 02:05:24,171 | INFO | SYSTEM | epoch=49 time=3.14s lr=0.000125 grad_norm=7.377235 mask_ratio_lastbatch=0.228456 cuda_mem_alloc_mb=95.45 cuda_mem_reserved_mb=1942.00 cuda_mem_max_alloc_mb=732.50
2025-12-22 02:05:27,276 | INFO | SYSTEM | epoch=50 time=3.10s lr=0.000125 grad_norm=7.391396 mask_ratio_lastbatch=0.229167 cuda_mem_alloc_mb=95.45 cuda_mem_reserved_mb=1942.00 cuda_mem_max_alloc_mb=732.50
